# corpus prefix stripped from every path: /nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/
# F	<file>	<verdict>	<give-up detail>
# C	<file>	<repeat count>	<DTRES-CENSUS line>
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	2	DTRES-CENSUS narrow_sites=134 wide_sites=134 narrow_pairs=1610 wide_pairs=1610 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=64 sym_inexact=0 ctor_exact=24 ctor_inexact=0 apply_exact=69 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	8	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=2 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	64	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	1	DTRES-CENSUS narrow_sites=20 wide_sites=20 narrow_pairs=90 wide_pairs=90 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=16 sym_inexact=0 ctor_exact=4 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	3	DTRES-CENSUS narrow_sites=24 wide_sites=24 narrow_pairs=80 wide_pairs=80 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=16 sym_inexact=0 ctor_exact=14 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	1	DTRES-CENSUS narrow_sites=38 wide_sites=38 narrow_pairs=152 wide_pairs=152 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=26 sym_inexact=0 ctor_exact=18 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	2	DTRES-CENSUS narrow_sites=4 wide_sites=4 narrow_pairs=1 wide_pairs=1 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=2 sym_inexact=0 ctor_exact=2 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	8	DTRES-CENSUS narrow_sites=4 wide_sites=4 narrow_pairs=1 wide_pairs=1 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=4 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	2	DTRES-CENSUS narrow_sites=4 wide_sites=4 narrow_pairs=2 wide_pairs=2 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=6 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	1	DTRES-CENSUS narrow_sites=42 wide_sites=42 narrow_pairs=200 wide_pairs=200 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=34 sym_inexact=0 ctor_exact=8 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	2	DTRES-CENSUS narrow_sites=84 wide_sites=84 narrow_pairs=593 wide_pairs=593 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=53 sym_inexact=0 ctor_exact=22 ctor_inexact=0 apply_exact=19 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_108_43_index_check2___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is neither a free variable nor a constructor application (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_108_43_index_check2___00.smt2	4	DTRES-CENSUS narrow_sites=18 wide_sites=18 narrow_pairs=12 wide_pairs=12 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=16 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=12 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_108_43_index_check2___00.smt2	8	DTRES-CENSUS narrow_sites=26 wide_sites=26 narrow_pairs=33 wide_pairs=33 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=22 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=18 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_108_43_index_check2___00.smt2	4	DTRES-CENSUS narrow_sites=44 wide_sites=44 narrow_pairs=130 wide_pairs=130 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=40 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=26 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_108_43_index_check2___00.smt2	6	DTRES-CENSUS narrow_sites=8 wide_sites=8 narrow_pairs=2 wide_pairs=2 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=8 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=6 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_130_45_index_check2___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is neither a free variable nor a constructor application (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_130_45_index_check2___00.smt2	8	DTRES-CENSUS narrow_sites=14 wide_sites=14 narrow_pairs=22 wide_pairs=22 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=6 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=12 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_130_45_index_check2___00.smt2	2	DTRES-CENSUS narrow_sites=26 wide_sites=26 narrow_pairs=88 wide_pairs=88 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=18 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=12 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_130_45_index_check2___00.smt2	4	DTRES-CENSUS narrow_sites=8 wide_sites=8 narrow_pairs=12 wide_pairs=12 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=4 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=8 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_154_33_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_154_33_precondition___00.smt2	6	DTRES-CENSUS narrow_sites=10 wide_sites=10 narrow_pairs=6 wide_pairs=6 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=10 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=9 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_154_33_precondition___00.smt2	20	DTRES-CENSUS narrow_sites=16 wide_sites=16 narrow_pairs=12 wide_pairs=12 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=16 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=9 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_154_33_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=18 wide_sites=18 narrow_pairs=18 wide_pairs=18 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=18 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=9 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_187_22_precondition3___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_220_39_precondition3___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is neither a free variable nor a constructor application (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_220_39_precondition3___00.smt2	4	DTRES-CENSUS narrow_sites=105 wide_sites=105 narrow_pairs=1275 wide_pairs=1275 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=91 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=56 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_220_39_precondition3___00.smt2	4	DTRES-CENSUS narrow_sites=32 wide_sites=32 narrow_pairs=50 wide_pairs=50 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=20 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=27 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_220_39_precondition3___00.smt2	8	DTRES-CENSUS narrow_sites=39 wide_sites=39 narrow_pairs=101 wide_pairs=101 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=38 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=18 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_220_39_precondition3___00.smt2	8	DTRES-CENSUS narrow_sites=45 wide_sites=45 narrow_pairs=169 wide_pairs=169 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=41 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=22 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_220_39_precondition3___00.smt2	6	DTRES-CENSUS narrow_sites=6 wide_sites=6 narrow_pairs=2 wide_pairs=2 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=8 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=2 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_228_50_precondition4___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_237_28_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is neither a free variable nor a constructor application (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_237_28_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=114 wide_sites=114 narrow_pairs=1351 wide_pairs=1351 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=98 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=66 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_237_28_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=37 wide_sites=37 narrow_pairs=65 wide_pairs=65 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=20 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=38 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_237_28_precondition___00.smt2	8	DTRES-CENSUS narrow_sites=44 wide_sites=44 narrow_pairs=118 wide_pairs=118 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=39 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=28 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_237_28_precondition___00.smt2	8	DTRES-CENSUS narrow_sites=50 wide_sites=50 narrow_pairs=187 wide_pairs=187 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=42 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=32 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_237_28_precondition___00.smt2	6	DTRES-CENSUS narrow_sites=6 wide_sites=6 narrow_pairs=2 wide_pairs=2 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=8 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=2 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_244_63_range_check2___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is neither a free variable nor a constructor application (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_244_63_range_check2___00.smt2	4	DTRES-CENSUS narrow_sites=167 wide_sites=167 narrow_pairs=2821 wide_pairs=2821 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=133 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=102 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_244_63_range_check2___00.smt2	4	DTRES-CENSUS narrow_sites=51 wide_sites=51 narrow_pairs=140 wide_pairs=140 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=24 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=56 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_244_63_range_check2___00.smt2	6	DTRES-CENSUS narrow_sites=6 wide_sites=6 narrow_pairs=2 wide_pairs=2 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=8 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=2 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_244_63_range_check2___00.smt2	8	DTRES-CENSUS narrow_sites=64 wide_sites=64 narrow_pairs=289 wide_pairs=289 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=45 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=52 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_244_63_range_check2___00.smt2	8	DTRES-CENSUS narrow_sites=73 wide_sites=73 narrow_pairs=450 wide_pairs=450 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=49 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=58 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_252_49_range_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is neither a free variable nor a constructor application (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_252_49_range_check___00.smt2	4	DTRES-CENSUS narrow_sites=104 wide_sites=104 narrow_pairs=1520 wide_pairs=1520 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=90 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=58 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_252_49_range_check___00.smt2	4	DTRES-CENSUS narrow_sites=22 wide_sites=22 narrow_pairs=17 wide_pairs=17 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=20 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=12 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_252_49_range_check___00.smt2	8	DTRES-CENSUS narrow_sites=28 wide_sites=28 narrow_pairs=44 wide_pairs=44 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=30 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=10 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_252_49_range_check___00.smt2	8	DTRES-CENSUS narrow_sites=35 wide_sites=35 narrow_pairs=110 wide_pairs=110 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=34 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=14 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_252_49_range_check___00.smt2	6	DTRES-CENSUS narrow_sites=6 wide_sites=6 narrow_pairs=2 wide_pairs=2 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=8 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=2 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_261_42_precondition4___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_26_20_range_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_26_20_range_check___00.smt2	3	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_26_20_range_check___00.smt2	8	DTRES-CENSUS narrow_sites=12 wide_sites=12 narrow_pairs=11 wide_pairs=11 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=9 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=7 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_26_20_range_check___00.smt2	2	DTRES-CENSUS narrow_sites=138 wide_sites=138 narrow_pairs=2043 wide_pairs=2043 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=70 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=121 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_26_20_range_check___00.smt2	4	DTRES-CENSUS narrow_sites=18 wide_sites=18 narrow_pairs=54 wide_pairs=54 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=15 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=3 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_26_20_range_check___00.smt2	4	DTRES-CENSUS narrow_sites=31 wide_sites=31 narrow_pairs=102 wide_pairs=102 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=11 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=32 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_26_20_range_check___00.smt2	2	DTRES-CENSUS narrow_sites=73 wide_sites=73 narrow_pairs=567 wide_pairs=567 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=50 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=54 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_278_25_precondition4___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_289_56_index_check3___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is neither a free variable nor a constructor application (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_289_56_index_check3___00.smt2	4	DTRES-CENSUS narrow_sites=20 wide_sites=20 narrow_pairs=17 wide_pairs=17 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=18 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=12 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_289_56_index_check3___00.smt2	8	DTRES-CENSUS narrow_sites=26 wide_sites=26 narrow_pairs=44 wide_pairs=44 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=28 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=10 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_289_56_index_check3___00.smt2	8	DTRES-CENSUS narrow_sites=29 wide_sites=29 narrow_pairs=64 wide_pairs=64 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=30 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=12 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_289_56_index_check3___00.smt2	6	DTRES-CENSUS narrow_sites=6 wide_sites=6 narrow_pairs=2 wide_pairs=2 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=8 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=2 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_289_56_index_check3___00.smt2	4	DTRES-CENSUS narrow_sites=69 wide_sites=69 narrow_pairs=546 wide_pairs=546 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=64 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=36 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_31_15_precondition3___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_348_15_precondition2___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is neither a free variable nor a constructor application (ADR-0022)
