mode	case	expected	verdict	class	detail
parse-only	tutorial/057_indNegReducible	reject	accept	ok	-
parse-only	tutorial/058_predWithTypeField	accept	accept	ok	-
parse-only	tutorial/059_typeWithTypeField	accept	accept	ok	-
parse-only	tutorial/060_typeWithTypeFieldPoly	accept	accept	ok	-
parse-only	tutorial/061_typeWithTooHighTypeField.mk	reject	accept	ok	-
parse-only	tutorial/062_emptyRec	accept	accept	ok	-
parse-only	tutorial/063_boolRec	accept	accept	ok	-
parse-only	tutorial/064_twoBoolRec	accept	accept	ok	-
parse-only	tutorial/065_andRec	accept	accept	ok	-
parse-only	tutorial/066_prodRec	accept	accept	ok	-
parse-only	tutorial/067_pprodRec	accept	accept	ok	-
parse-only	tutorial/068_punitRec	accept	accept	ok	-
parse-only	tutorial/069_eqRec	accept	accept	ok	-
parse-only	tutorial/070_nRec	accept	accept	ok	-
parse-only	tutorial/071_rbTreeRef	accept	accept	ok	-
parse-only	tutorial/072_boolPropRec	accept	accept	ok	-
parse-only	tutorial/073_BogusRecursor	reject	reject	malformed	line_24:_generated/exported_recursor_universe-parameter_arity_differs
parse-only	tutorial/074_existsRec	accept	accept	ok	-
parse-only	tutorial/075_typeSingletonRecReduction	accept	accept	ok	-
parse-only	tutorial/076_sortElimPropRec	accept	accept	ok	-
parse-only	tutorial/077_sortElimProp2Rec	accept	accept	ok	-
parse-only	tutorial/078_boolRecEqns	accept	accept	ok	-
parse-only	tutorial/079_prodRecEqns	accept	accept	ok	-
parse-only	tutorial/080_nRecReduction	accept	accept	ok	-
parse-only	tutorial/081_listRecReduction	accept	accept	ok	-
parse-only	tutorial/082_RBTree.id_spec	accept	accept	ok	-
parse-only	tutorial/083_And.right	accept	accept	ok	-
parse-only	tutorial/084_Prod.snd	accept	accept	ok	-
parse-only	tutorial/085_PProd.snd	accept	accept	ok	-
parse-only	tutorial/086_PSigma.snd	accept	accept	ok	-
parse-only	tutorial/087_projOutOfRange	reject	accept	ok	-
parse-only	tutorial/088_projNotStruct	reject	accept	ok	-
parse-only	tutorial/089_projProp1	accept	accept	ok	-
parse-only	tutorial/090_projProp2	reject	accept	ok	-
parse-only	tutorial/091_projProp3	accept	accept	ok	-
