file	A	B	A_ms	B_ms	first
QF_LRA/sc/sc-11.base.cvc.smt2	unknown	unknown	24024	24024	A
QF_LRA/sc/sc-13.base.cvc.smt2	unknown	unknown	24025	24125	B
QF_LRA/sc/sc-15.base.cvc.smt2	unknown	unknown	24125	24126	A
QF_LRA/sc/sc-17.base.cvc.smt2	unknown	unknown	24127	24127	B
QF_LRA/sc/sc-19.base.cvc.smt2	unknown	unknown	24025	24126	A
QF_LRA/sc/sc-21.base.cvc.smt2	unknown	unknown	24026	24126	B
QF_LRA/sc/sc-23.base.cvc.smt2	unknown	unknown	24129	24129	A
QF_LRA/sc/sc-25.base.cvc.smt2	unknown	unknown	24125	24125	A
QF_LRA/sc/sc-27.base.cvc.smt2	unknown	unknown	24026	24128	B
QF_LRA/sc/sc-29.base.cvc.smt2	unknown	unknown	24126	24126	A
QF_LRA/sc/sc-31.base.cvc.smt2	unknown	unknown	24128	24026	B
QF_LRA/sc/sc-33.base.cvc.smt2	unknown	unknown	24126	24026	A
QF_LRA/sc/sc-35.base.cvc.smt2	unknown	unknown	24126	24126	B
QF_LRA/sc/sc-37.base.cvc.smt2	unknown	unknown	24125	24026	A
QF_LRA/sc/sc-39.base.cvc.smt2	unknown	unknown	24126	24129	B
QF_LRA/sc/sc-5.base.cvc.smt2	unsat	unsat	11317	11316	B
QF_LRA/sc/sc-7.base.cvc.smt2	unknown	unknown	24126	24126	A
QF_LRA/sc/sc-9.base.cvc.smt2	unknown	unknown	24126	24126	B
QF_LRA/spider_benchmarks/frame_prop.base.smt2	unsat	unsat	1210	1109	A
QF_LRA/spider_benchmarks/fs_not_sc_seen.base.smt2	unsat	unsat	1309	1310	B
QF_LRA/spider_benchmarks/no_op_accs.base.smt2	unsat	unsat	1311	1311	A
QF_LRA/spider_benchmarks/pd_init_op_accs.base.smt2	unsat	unsat	1309	1310	B
QF_LRA/spider_benchmarks/reint_to_least.base.smt2	unsat	unsat	209	109	A
QF_LRA/TM/p5-driverlogNumeric_s9.smt2	unsat	unsat	209	209	B
QF_LRA/TM/p7-driverlogNumeric_s8.smt2	unknown	unknown	24126	24126	A
QF_LRA/TM/p-driverlogNumeric_s7.smt2	sat	sat	109	108	A
