file	arm	verdict	ms	exit
QF_NRA/20200911-Pine/1599122164633784000.smt2	z3-nlsat	sat	108	0
QF_NRA/20200911-Pine/1599122164633784000.smt2	z3-lin	unknown	107	0
QF_NRA/20200911-Pine/1599122164633784000.smt2	cvc5	sat	108	0
QF_NRA/20211101-Geogebra/Triangle-Bottema1_17.smt2	z3-default	sat	107	0
QF_NRA/20211101-Geogebra/Triangle-Bottema1_17.smt2	z3-nlsat	sat	108	0
QF_NRA/20211101-Geogebra/Triangle-Bottema1_17.smt2	z3-lin	sat	108	0
QF_NRA/20211101-Geogebra/Triangle-Bottema1_17.smt2	cvc5	sat	108	0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Disjunctive_Denominator_Simplifications/DDC_ProveIneq_ISSAC05_Bessack_5_m4.smt2	z3-default	unsat	108	0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Disjunctive_Denominator_Simplifications/DDC_ProveIneq_ISSAC05_Bessack_5_m4.smt2	z3-nlsat	unsat	108	0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Disjunctive_Denominator_Simplifications/DDC_ProveIneq_ISSAC05_Bessack_5_m4.smt2	z3-lin	unknown	108	0
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Disjunctive_Denominator_Simplifications/DDC_ProveIneq_ISSAC05_Bessack_5_m4.smt2	cvc5	unsat	108	0
QF_NRA/hycomp/etcs_braking_2.01.redlog_global_15.smt2	z3-default	none	24030	0
QF_NRA/hycomp/etcs_braking_2.01.redlog_global_15.smt2	z3-nlsat	none	24029	0
QF_NRA/hycomp/etcs_braking_2.01.redlog_global_15.smt2	z3-lin	unsat	109	0
QF_NRA/hycomp/etcs_braking_2.01.redlog_global_15.smt2	cvc5	unsat	210	0
QF_NRA/kissing/kissing_4_8.smt2	z3-default	none	24027	0
QF_NRA/kissing/kissing_4_8.smt2	z3-nlsat	none	24127	0
QF_NRA/kissing/kissing_4_8.smt2	z3-lin	unknown	307	0
QF_NRA/kissing/kissing_4_8.smt2	cvc5	sat	307	0
QF_NRA/LassoRanker/CooperatingT2/eric2.t2.c_Iteration9_Loop_3-pieceTemplate.smt2	z3-default	unsat	4210	0
QF_NRA/LassoRanker/CooperatingT2/eric2.t2.c_Iteration9_Loop_3-pieceTemplate.smt2	z3-nlsat	unsat	4211	0
QF_NRA/LassoRanker/CooperatingT2/eric2.t2.c_Iteration9_Loop_3-pieceTemplate.smt2	z3-lin	unsat	1408	0
QF_NRA/LassoRanker/CooperatingT2/eric2.t2.c_Iteration9_Loop_3-pieceTemplate.smt2	cvc5	unsat	4111	0
QF_NRA/LassoRanker/CooperatingT2/p-46.t2.c_Iteration2_Loop_4-pieceTemplate.smt2	z3-default	none	24025	0
QF_NRA/LassoRanker/CooperatingT2/p-46.t2.c_Iteration2_Loop_4-pieceTemplate.smt2	z3-nlsat	none	24053	0
QF_NRA/LassoRanker/CooperatingT2/p-46.t2.c_Iteration2_Loop_4-pieceTemplate.smt2	z3-lin	none	24128	0
QF_NRA/LassoRanker/CooperatingT2/p-46.t2.c_Iteration2_Loop_4-pieceTemplate.smt2	cvc5	none	26208	134
QF_NRA/LassoRanker/CooperatingT2/spiral.t2.c_Iteration22_Loop_4-pieceTemplate.smt2	z3-default	sat	1007	0
QF_NRA/LassoRanker/CooperatingT2/spiral.t2.c_Iteration22_Loop_4-pieceTemplate.smt2	z3-nlsat	sat	1008	0
QF_NRA/LassoRanker/CooperatingT2/spiral.t2.c_Iteration22_Loop_4-pieceTemplate.smt2	z3-lin	sat	507	0
QF_NRA/LassoRanker/CooperatingT2/spiral.t2.c_Iteration22_Loop_4-pieceTemplate.smt2	cvc5	sat	5412	0
QF_NRA/LassoRanker/SV-COMP/KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_6-phaseTemplate.smt2	z3-default	unsat	10414	0
QF_NRA/LassoRanker/SV-COMP/KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_6-phaseTemplate.smt2	z3-nlsat	unsat	12317	0
QF_NRA/LassoRanker/SV-COMP/KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_6-phaseTemplate.smt2	z3-lin	none	24130	0
QF_NRA/LassoRanker/SV-COMP/KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_6-phaseTemplate.smt2	cvc5	none	26217	134
