file	board_1446a809c	ms	main_2611e14b0	ms	first	status
QF_UFLIA/mathsat/Wisa/xs-11-18-3-3-4-1.smt2	unsat	4211	unsat	4110	A	unsat
QF_UFLIA/mathsat/Wisa/xs-12-15-3-2-1-5.smt2	sat	709	sat	708	B	sat
QF_UFLIA/mathsat/Wisa/xs-13-12-5-3-4-4.smt2	sat	708	sat	709	A	sat
QF_UFLIA/mathsat/Wisa/xs-14-10-3-4-2-2.smt2	sat	907	sat	908	B	sat
QF_UFLIA/mathsat/Wisa/xs-15-08-4-5-4-1.smt2	sat	908	sat	909	A	sat
QF_UFLIA/mathsat/Wisa/xs-16-06-4-1-3-5.smt2	sat	908	sat	907	B	sat
QF_UFLIA/mathsat/Wisa/xs-16-19-3-4-4-1.smt2	sat	1009	sat	1009	A	sat
QF_UFLIA/mathsat/Wisa/xs-17-15-2-2-2-4.smt2	sat	1108	sat	1108	B	sat
QF_UFLIA/mathsat/Wisa/xs-18-12-3-4-4-3.smt2	sat	1109	sat	1109	A	sat
QF_UFLIA/mathsat/Wisa/xs-19-09-4-2-3-5.smt2	sat	1309	sat	1309	B	sat
QF_UFLIA/mathsat/Wisa/xs-20-06-2-3-1-3.smt2	sat	1308	sat	1309	A	sat
QF_UFLIA/mathsat/Wisa/xs-20-18-3-4-5-4.smt2	sat	1408	sat	1408	B	sat
QF_UFLIA/wisas/xs_13_18.smt2	sat	1208	sat	1208	A	sat
QF_UFLIA/wisas/xs_17_27.smt2	unknown	25028	unknown	24329	B	sat
QF_UFLIA/wisas/xs_21_31.smt2	unknown	25028	unknown	24327	A	sat
QF_UFLIA/wisas/xs_25_35.smt2	sat	7813	sat	7811	B	sat
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/11775_ad46e5b8db4748c51973_42_QF_UFLIA.smt2	unknown	107	unknown	108	A	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_38_QF_UFLIA.smt2	unknown	25025	unknown	25022	B	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/39657_1c7158801cd59dc13f05_46_QF_UFLIA.smt2	unknown	25029	unknown	25028	A	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/44289_e5a2e5c780236919ee6a_18_QF_UFLIA.smt2	unknown	4010	unknown	4211	B	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/63058_aa742630eef64f949de269382c1f9035_25_UFLIA.smt2	unknown	107	unknown	107	A	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/72771_f9d228efc97cf1458e38_64_QF_UFLIA.smt2	unknown	107	unknown	107	B	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/940_590f27b1c3c800d3243e_30_QF_UFLIA.smt2	unknown	25023	unknown	25031	A	unknown
QF_UFLIA/TwoSquares/smtlib.621344.smt2	sat	107	sat	106	B	sat
QF_UFLIA/TwoSquares/smtlib.769286.smt2	unsat	107	unsat	107	A	unsat
QF_UFLIA/mathsat/EufLaArithmetic/hard/hard4.smt2	unsat	1008	unsat	1009	B	unsat
QF_UFLIA/mathsat/EufLaArithmetic/medium/medium16.smt2	unsat	18323	unsat	18320	A	unsat
QF_UFLIA/mathsat/Hash/hash_sat_03_05.smt2	sat	307	sat	308	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_03_17.smt2	sat	10617	sat	10715	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_04_11.smt2	sat	18321	sat	18321	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_05_05.smt2	sat	18323	sat	18322	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_05_17.smt2	sat	18421	sat	18423	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_06_11.smt2	sat	18419	sat	18422	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_07_05.smt2	sat	18324	sat	18325	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_07_17.smt2	sat	18523	sat	18521	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_08_11.smt2	sat	18422	sat	18424	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_09_05.smt2	sat	18422	sat	18424	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_09_17.smt2	sat	18624	sat	18622	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_10_11.smt2	sat	18523	sat	18522	A	sat
QF_UFLIA/mathsat/Hash/hash_uns_03_05.smt2	unsat	208	unsat	208	B	unsat
QF_UFLIA/mathsat/Hash/hash_uns_03_17.smt2	unsat	4011	unsat	4211	A	unsat
QF_UFLIA/mathsat/Hash/hash_uns_04_11.smt2	unknown	25024	unknown	24326	B	unsat
QF_UFLIA/mathsat/Hash/hash_uns_05_05.smt2	unsat	3610	unsat	3010	A	unsat
QF_UFLIA/mathsat/Hash/hash_uns_05_17.smt2	unsat	14022	unsat	14319	B	unsat
QF_UFLIA/mathsat/Wisa/xs-05-16-1-5-4-3.smt2	unsat	109	unsat	109	A	unsat
