file	a_verdict	a_ms	a_kind	b_verdict	b_ms	b_kind	first	a_giveup	b_giveup
AUFLIA/20170829-Rodin/smt2689043046447407041.smt2	unsat	108	NOGIVEUP	unsat	109	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt2709919526989949188.smt2	unsat	109	NOGIVEUP	unsat	109	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt2756640907124672379.smt2	unsat	109	NOGIVEUP	unsat	108	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt2781304933530360934.smt2	unsat	108	NOGIVEUP	unsat	107	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt290007641417507215.smt2	sat	109	NOGIVEUP	sat	108	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt3112647915076834284.smt2	unsat	109	NOGIVEUP	unsat	108	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt3149155445681831487.smt2	sat	108	NOGIVEUP	sat	107	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt3455614646258639135.smt2	unsat	108	NOGIVEUP	unsat	108	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt358294848536363418.smt2	unsat	509	NOGIVEUP	unsat	508	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt3834103972384347918.smt2	unsat	108	NOGIVEUP	unsat	108	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt3999521122987606312.smt2	unsat	108	NOGIVEUP	unsat	109	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt4046502920936702092.smt2	unsat	608	NOGIVEUP	unsat	608	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt4084561326520296089.smt2	unsat	108	NOGIVEUP	unsat	108	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt4143999369475534694.smt2	unsat	208	NOGIVEUP	unsat	208	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt4211882675554830433.smt2	unsat	108	NOGIVEUP	unsat	109	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt4249223038813923501.smt2	unsat	107	NOGIVEUP	unsat	109	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt4290356258583326438.smt2	unsat	107	NOGIVEUP	unsat	107	NOGIVEUP	B	none	none
AUFLIA/20170829-Rodin/smt4366532392238030007.smt2	unsat	108	NOGIVEUP	unsat	108	NOGIVEUP	A	none	none
AUFLIA/20170829-Rodin/smt4404187290435275754.smt2	unsat	109	NOGIVEUP	unsat	108	NOGIVEUP	B	none	none
