file	arm	verdict	rc	wall_ms	attempts	decided_by	bound_by	bound_ms	total_ms	giveup	lever_refused
QF_UFBV/20210312-Bouvier/vlsat3_j47.smt2	preadr	unknown	0	15117	15	none	euf-online	14622	14980	give-up kind=NodeBudget detail=online UFBV input has 126875 DAG nodes, exceeding the admission cap of 16384	no
QF_UFBV/20210312-Bouvier/vlsat3_j77.smt2	shipped	unknown	0	16616	15	none	euf-online	16053	16466	give-up kind=NodeBudget detail=online UFBV input has 152045 DAG nodes, exceeding the admission cap of 16384	no
QF_UFBV/20210312-Bouvier/vlsat3_j77.smt2	preadr	unknown	0	17520	15	none	euf-online	16954	17367	give-up kind=NodeBudget detail=online UFBV input has 152045 DAG nodes, exceeding the admission cap of 16384	no
QF_UFBV/20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_67_QF_UFBV.smt2	shipped	unknown	0	2711	14	none	euf-online	2004	2608	give-up kind=ResourceLimit detail=online UFBV Boolean skeleton has 8572 variables, exceeding 8192	no
QF_UFBV/20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_67_QF_UFBV.smt2	preadr	unknown	0	2712	14	none	euf-online	2005	2598	give-up kind=ResourceLimit detail=online UFBV has 3788 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/20230314-Jaroslav-Bendik-Certora/44788_1965f0d6d94d5d8054ba_35_QF_UFBV.smt2	shipped	unknown	0	1710	14	none	euf-online	1475	1664	give-up kind=NodeBudget detail=online UFBV input has 25242 DAG nodes, exceeding the admission cap of 16384	no
QF_UFBV/20230314-Jaroslav-Bendik-Certora/44788_1965f0d6d94d5d8054ba_35_QF_UFBV.smt2	preadr	unknown	0	1812	14	none	euf-online	1522	1711	give-up kind=NodeBudget detail=online UFBV input has 25242 DAG nodes, exceeding the admission cap of 16384	no
QF_UFBV/20230314-Jaroslav-Bendik-Certora/93493_4ea6163ed03941199c785278ccc42812_49_QF_UFBV.smt2	shipped	unknown	0	24231	1	none	fd:parse	24129	24129	give-up kind=ResourceLimit detail=ingest exceeded the configured timeout during parse_command_loop	no
QF_UFBV/20230314-Jaroslav-Bendik-Certora/93493_4ea6163ed03941199c785278ccc42812_49_QF_UFBV.smt2	preadr	unknown	0	24225	1	none	fd:parse	24137	24137	give-up kind=ResourceLimit detail=ingest exceeded the configured timeout during parse_command_loop	no
QF_UFBV/calc2/calc2_sec2_shifter_bmc15.smt2	shipped	unknown	0	24228	15	none	ufbv-online-cdclt	24050	24166	give-up kind=Timeout detail=online UFBV canonical CdclT search exhausted its budget	no
