subset	verdict	bound_by	last	attempts	total_ms	giveup_kind	giveup_raw
AUFLIRA_nasa_fol_simplify_array_only_gauss_init_0005.fof.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	173	Incomplete	e-matching instantiation reached fixpoint without refuting after 2 rounds (no further instance to admit; more rounds cannot help)
AUFLIRA_nasa_fol_simplify_cl5_nebula_init_0005.fof.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	519	Incomplete	e-matching instantiation reached fixpoint without refuting after 2 rounds (no further instance to admit; more rounds cannot help)
AUFLIRA_nasa_fol_simplify_cl5_nebula_init_0111.fof.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	73	Incomplete	e-matching instantiation reached fixpoint without refuting after 2 rounds (no further instance to admit; more rounds cannot help)
AUFLIRA_nasa_fol_simplify_gauss_init_0176.fof.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	793	Incomplete	e-matching instantiation reached fixpoint without refuting after 2 rounds (no further instance to admit; more rounds cannot help)
AUFLIRA_nasa_fol_simplify_structure_prop_cl5_nebula_init_0022.fof.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	395	Incomplete	e-matching instantiation reached fixpoint without refuting after 2 rounds (no further instance to admit; more rounds cannot help)
AUFLIRA_nasa_fol_simplify_structure_prop_thruster_init_0070.fof.smt2.core.smt2	unknown	NONE	NONE	0	0	Watchdog	watchdog fired before the worker thread returned
AUFLIRA_nasa_fol_simplify_structure_prop_thruster_init_0197.fof.smt2.core.smt2	unknown	NONE	NONE	0	0	Watchdog	watchdog fired before the worker thread returned
AUFLIRA_nasa_vc_normalize_subst_cl5_nebula_init_0040.fof.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	6911	Incomplete	e-matching instantiation reached fixpoint without refuting after 3 rounds (no further instance to admit; more rounds cannot help)
AUFLIRA_nasa_vc_normalize_subst_quaternion_ds1_init_0011.fof.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	16165	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
AUFLIRA_peter_symmetric_unsat_66.smt2.core.smt2	unknown	NONE	NONE	0	0	Watchdog	watchdog fired before the worker thread returned
AUFLIRA_why_smtlibc3263d.smt2.core.smt2	unsat	fd:parse	q:skolem-qf	7	1	NONE	NONE
AUFLIRA_why_smtlibea82d1.smt2.core.smt2	unknown	NONE	NONE	0	0	Watchdog	watchdog fired before the worker thread returned
QF_NIA_20170427-VeryMax_CInteger_Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22014_terminationG_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	19	24112	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_CInteger_Stroeder_15__Sunset.c__terminationQ_0_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	20	24033	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_CInteger_Stroeder_15__svcomp_ex2.c__p25866_terminationG_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	19	24229	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
QF_NIA_20170427-VeryMax_ITS_From_AProVE_2014__MainDelete.jar-obl-10__p10430_safety_0.smt2.core.smt2	unknown	int-blast-ladder	fd:bounded-completeness-unsat	19	24027	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
