subset	verdict	rc	ms	host	core
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.rel3.smt2	unknown	0	25229	server7	3
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.small1.smt2	sat	0	108	server5	1
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.small10.smt2	sat	0	112	server6	3
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.small2.smt2	sat	0	111	server7	0
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.small25.smt2	sat	0	111	server7	1
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.small5.smt2	sat	0	110	server7	2
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.small50.smt2	unknown	0	411	server7	3
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.suffix1.smt2	sat	0	108	server5	1
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.suffix10.smt2	unknown	0	311	server6	3
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.suffix2.smt2	sat	0	111	server7	0
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.suffix25.smt2	unknown	0	14822	server7	1
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.suffix5.smt2	sat	0	109	server7	2
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.suffix50.smt2	unknown	0	23628	server7	3
UFLIA_simplify2_front_end_suite_javafe.PrintSpec.012.smt2.prefix1.smt2	sat	0	108	server5	1
UFLIA_simplify2_front_end_suite_javafe.PrintSpec.012.smt2.prefix10.smt2	sat	0	113	server6	3
UFLIA_simplify2_front_end_suite_javafe.PrintSpec.012.smt2.prefix2.smt2	sat	0	110	server7	0
